"","GEOID","bls_agemploy"
"1","13031",0.00466517011934963
"2","13121",6.09871685925714e-05
"3","13179",0
"4","13189",0
"5","13213",0
"6","13209",0.00818473364669017
"7","13139",8.52335347854399e-05
"8","13245",0
"9","13049",0.00166002656042497
"10","13141",0
"11","13157",0
"12","13315",0.0439287166413015
"13","13241",0
"14","13269",0
"15","13177",0.0190608625463218
"16","13279",0.0334074885194975
"17","13007",0.164034917200558
"18","34015",0.0119403048244661
"19","34023",0.000525542135404394
"20","34035",0.000369896719633317
"21","34031",0.000400980959707332
"22","34021",0.000380006967266509
"23","34009",0.00438473912984237
"24","35031",0
"25","35013",0.0392061940318695
"26","28059",0.00012530700215528
"27","02170",0.0073415970861128
"28","35033",0
"29","53067",0.0118228325684097
"30","51147",0
"31","01009",0
"32","01095",0
"33","51029",0
"34","51139",0.0024209608518893
"35","53017",0.180317643947172
"36","51153",0.000187640759790636
"37","51171",0.000375209675995409
"38","01043",0
"39","51061",0.00557411930701438
"40","53021",0.141188792385277
"41","53019",0
"42","53029",0.00711099786825677
"43","53075",0.0405166984153954
"44","33017",0.00254808618497806
"45","31093",0.022863877328021
"46","31115",0
"47","51001",0.0116575647755568
"48","21101",0.00553057886210992
"49","21093",0.000677514811317474
"50","51119",0.000736222128733698
"51","22075",0.00472532794852748
"52","22107",0.256330250384273
"53","51193",0.0739091622712249
"54","22119",0
"55","23027",0.00494585748545188
"56","51091",0
"57","21013",0
"58","21131",0
"59","51083",0.00122387900508989
"60","23023",0.00583805452938245
"61","21235",0
"62","24041",0.00301957311283884
"63","24033",0.000156330454315722
"64","24035",0.0135463569859222
"65","24023",0.000822273020136045
"66","51165",0.0134015458999486
"67","37083",0.0101231275590145
"68","37179",0.00390074664862467
"69","37129",0.000636270201408115
"70","37163",0.0518195560568742
"71","37031",0.00393268322778296
"72","37183",0.000325693247166283
"73","37119",0.000542855941858146
"74","37087",0.00168248270051635
"75","37141",0.0135989883317712
"76","37021",0.00175330154764247
"77","37047",0.00254206927522577
"78","37039",0
"79","37171",0.00188815049529492
"80","37093",0.00857953346012125
