"","GEOID","svi_mean"
"1","13031",0.824933333333333
"2","13121",0.625566666666667
"3","13179",0.883166666666667
"4","13189",0.815
"5","13213",0.696766666666667
"6","13209",0.816566666666667
"7","13139",0.755
"8","13245",0.949066666666667
"9","13049",0.9021
"10","13141",0.889
"11","13157",0.355
"12","13315",0.8015
"13","13241",0.532433333333333
"14","13269",0.9357
"15","13177",0.301666666666667
"16","13279",0.976866666666667
"17","13007",0.7194
"18","34015",0.191933333333333
"19","34023",0.5899
"20","34035",0.153833333333333
"21","34031",0.864666666666667
"22","34021",0.670966666666667
"23","34009",0.370266666666667
"24","35031",0.976266666666667
"25","35013",0.987066666666667
"26","28059",0.695633333333333
"27","02170",0.4318
"28","35033",0.714633333333333
"29","53067",0.3654
"30","51147",0.730533333333333
"31","01009",0.518166666666667
"32","01095",0.656133333333333
"33","51029",0.746966666666667
"34","51139",0.3638
"35","53017",0.801766666666667
"36","51153",0.385633333333333
"37","51171",0.384366666666667
"38","01043",0.508233333333333
"39","51061",0.0611333333333333
"40","53021",0.893566666666667
"41","53019",0.7751
"42","53029",0.2609
"43","53075",0.5169
"44","33017",0.207733333333333
"45","31093",0.138466666666667
"46","31115",0.0847333333333333
"47","51001",0.846566666666667
"48","21101",0.6642
"49","21093",0.551833333333333
"50","51119",0.2665
"51","22075",0.669966666666667
"52","22107",0.8018
"53","51193",0.567533333333333
"54","22119",0.8868
"55","23027",0.259733333333333
"56","51091",0.0976
"57","21013",0.823366666666667
"58","21131",0.661333333333333
"59","51083",0.714066666666667
"60","23023",0.0734
"61","21235",0.805633333333333
"62","24041",0.236266666666667
"63","24033",0.746366666666667
"64","24035",0.0351333333333333
"65","24023",0.223433333333333
"66","51165",0.275433333333333
"67","37083",0.976133333333333
"68","37179",0.2031
"69","37129",0.4226
"70","37163",0.953433333333333
"71","37031",0.405
"72","37183",0.327433333333333
"73","37119",0.552433333333333
"74","37087",0.333466666666667
"75","37141",0.573266666666667
"76","37021",0.506366666666667
"77","37047",0.9458
"78","37039",0.4433
"79","37171",0.776866666666667
"80","37093",0.9023
"81","37105",0.877033333333333
"82","37173",0.8476
"83","37015",0.9552
"84","37175",0.4657
"85","18083",0.573066666666667
"86","18183",0.0618333333333333
"87","18089",0.711833333333333
"88","18051",0.262733333333333
"89","18071",0.499433333333333
"90","18061",0.134966666666667
"91","21071",0.770966666666667
"92","20123",0.183466666666667
"93","21043",0.655766666666667
"94","21085",0.574133333333333
"95","21011",0.556666666666667
"96","21099",0.779633333333333
"97","20149",0.0854333333333333
"98","21189",0.686
"99","21003",0.648166666666667
"100","21109",0.6139
"101","21205",0.5802
"102","21147",0.774233333333333
"103","21031",0.7461
"104","20203",0.458133333333333
"105","17031",0.757433333333333
"106","17027",0.142533333333333
"107","17079",0.181666666666667
"108","17171",0.0681333333333333
"109","17185",0.383733333333333
"110","17047",0.261666666666667
"111","39043",0.328366666666667
"112","06001",0.499333333333333
"113","06081",0.2729
"114","06065",0.8145
"115","06095",0.6141
"116","06103",0.9394
"117","06111",0.571666666666667
"118","06083",0.804733333333333
"119","36081",0.7324
"120","06093",0.7533
"121","06115",0.927833333333333
"122","06033",0.9061
