"","STATEFP","GEOID","lat","lon","log_incidence","raw_incidence","raw_perc_over65","raw_edge_pixel_count","raw_edge_length_m","raw_area_km2","raw_edgedensity_mk2","raw_log_edgedensity_mk2","raw_bls_agemploy","raw_svi_mean","raw_birds_tot","scale_perc_over65","scale_edge_pixel_count","scale_edge_length_m","scale_area_km2","scale_edgedensity_mk2","scale_log_edgedensity_mk2","scale_bls_agemploy","scale_svi_mean","scale_birds_tot","raw_peakmonths_rR0_mean","scale_peakmonths_rR0_mean"
"1371",48,"48059",32.2975842765824,-99.3734746276485,0.173953307123438,1.19,20.8,15046,451380,2334.80357415625,193.326755619312,5.26954104952452,0,0.290066666666667,15,0.14018745778058,-0.983485126981971,-0.983485126981972,-0.0487706818100996,-1.15852047849001,-0.723778232167419,-0.417448157940074,-0.740764897432004,0.490807990049507,0.638868461272295,1.035202296182
"1372",48,"48371",30.7808789656572,-102.723425887558,-0.673344553263766,0.51,13.3,6570,197100,12353.6992048527,15.9547352361126,2.83054715977373,0.00839753156304533,0.879233333333333,15,-1.37127014150013,-1.19435930889112,-1.19435930889112,2.90051358960665,-1.40977799251823,-2.33783306414455,-0.164110758207154,1.33836388544764,0.490807990049507,0.711066775063914,1.36869221308689
"1373",41,"41005",45.1880079745597,-122.220695615056,-3.91202300542815,0.02,19.3,152834,4585020,4866.77637691129,942.106159171811,6.8491788523013,0.0262004533652383,0.264066666666667,14,-0.162104062075562,2.44453891465294,2.44453891465294,0.696571703027313,-0.0978320390975907,0.321579871868714,0.372969201916329,-0.832517115290341,0.157384250484166,0.0328785487697204,-1.76391467695067
"1374",5,"05041",33.8307883387497,-91.2552508900857,-0.0512932943875506,0.95,19.6,50798,1523940,2104.45644695165,724.148984982539,6.5863771302708,0.0674987909400483,0.953866666666667,16,-0.101645758104334,-0.0940120557672697,-0.0940120557672697,-0.116578470639549,-0.406580722419235,0.147665377421751,1.6188607327724,1.60173980312048,0.824231729614848,0.643195949192693,1.05519131685562
"1375",5,"05149",35.0024096852426,-93.4113124461162,-1.71479842809193,0.18,17.6,52878,1586340,2456.09880547796,645.877924968616,6.47215759813413,0,0.795566666666667,16,-0.504701117912524,-0.0422637902680927,-0.0422637902680926,-0.0130647386481676,-0.517456112556669,0.0720782312111488,-0.417448157940074,1.04310995362145,0.824231729614848,0.563271845029565,0.686015342289394
"1376",30,"30035",48.7053764301642,-112.994232581549,-1.23787435600162,0.29,12.8,31656,949680,7835.60465084408,121.200601908584,4.80566397232752,0.00710267293211585,0.9134,13,-1.47203398145218,-0.570245372202485,-0.570245372202486,1.57051219064158,-1.26069126077361,-1.03075851655417,-0.203174156316305,1.45893571019738,-0.176039489081175,0.0245836175176527,-1.8022296428925
"1377",49,"49015",38.9961075364472,-110.700532426099,NA,NA,18,15906,477180,11567.8920052746,41.2503850988944,3.74361346852837,0,0.2152,14,-0.424090045950886,-0.962089209515966,-0.962089209515966,2.66919380152731,-1.3739452716273,-1.73359248209392,-0.417448157940074,-1.0049642324446,0.157384250484166,0.309016248136427,-0.488412056738533
"1378",49,"49031",38.3366259126794,-112.127241894524,NA,NA,28.4,6304,189120,1983.1588005063,95.363013769607,4.56812245340543,0,0.370433333333333,13,1.6717978250517,-1.2009771159213,-1.2009771159213,-0.152285124746722,-1.29729166793061,-1.18795654727599,-0.417448157940074,-0.457156439410913,-0.176039489081175,0.0547496319353361,-1.66289035485123
"1379",6,"06021",39.5983994816405,-122.391917178682,1.42791603581071,4.17,16.8,72866,2185980,3426.30292243407,637.999630939539,6.45990387681796,0.224240559187036,0.879033333333333,14,-0.6659232618358,0.455017137999961,0.455017137999962,0.272536374256481,-0.52861616231115,0.0639690767835066,6.34745885700877,1.33765809915642,0.157384250484166,0.442742796840954,0.129281809965401
"1380",8,"08019",39.6891248278996,-105.644359703389,-0.116533816255952,0.89,22.1,0,0,1022.87003483196,0,0,0,0.0990666666666667,17,0.402173441655904,-1.35781416674188,-1.35781416674189,-0.43496743395695,-1.43237877872873,-4.21100639990831,-0.417448157940074,-1.41479080554518,1.15765546918019,0.00340282831317,-1.90006544072249
"1381",12,"12037",29.8766425557441,-84.8139154504926,NA,NA,26.2,392,11760,1634.85871577645,7.19328213901026,2.10331456716022,0,0.872366666666667,16,1.22843692926269,-1.34806160901319,-1.34806160901319,-0.254814984273311,-1.4221890871187,-2.81909432724637,-0.417448157940074,1.31413188944916,0.824231729614848,0.793411783259854,1.74905054139986
"1382",29,"29019",38.990340496243,-92.3096633016544,-1.10866262452161,0.33,13.1,106014,3180420,1781.3615972493,1785.38709092587,7.48795047419323,0.00180587907529012,0.366333333333333,13,-1.41157567748095,1.2797053614455,1.2797053614455,-0.211688609873194,1.09672316798735,0.744300251438785,-0.362968254443268,-0.471625058380881,-0.176039489081175,0.486942202636522,0.333442480650207
"1383",48,"48435",30.4984546715193,-100.538203741316,NA,NA,15.9,39,1170,3774.19895297066,0.309999556085696,0.270026798347122,0,0.707433333333333,15,-0.847298173749485,-1.35684388676377,-1.35684388676378,0.374947291464385,-1.43193964679775,-4.03231056124017,-0.417448157940074,0.73209346129139,0.490807990049507,0.688593701385357,1.26488724756802
"1384",27,"27027",46.8920539386041,-96.4905984970436,0.3293037471426,1.39,13.9,146160,4384800,2717.4105904924,1613.59494783064,7.38683939790278,0.013287246974673,0.325266666666667,15,-1.25035353355768,2.27849664352721,2.27849664352722,0.0638581843851517,0.853369866207089,0.677387897972543,-0.0165974349745215,-0.616546510177639,0.490807990049507,0.242097269092919,-0.797516294615759
"1385",48,"48327",30.8898040732817,-99.8205529374893,NA,NA,32.2,725,21750,2339.72227056084,9.29597511365588,2.33175305320231,0,0.738733333333333,15,2.43760300868726,-1.33977691073857,-1.33977691073857,-0.047322754366132,-1.41921050341405,-2.6679204174817,-0.417448157940074,0.842549015867004,0.490807990049507,0.663763650178721,1.15019521005667
"1386",22,"22077",30.7093620067782,-91.6006913109536,0.56531380905006,1.76,21.7,63617,1908510,1531.8714589167,1245.86824102699,7.1283902793333,0.0277126588562934,0.782,16,0.321562369694265,0.224911509345207,0.224911509345207,-0.285131568855968,0.332464156311812,0.506353829211541,0.418589537379149,0.995234116867162,0.824231729614848,0.768704606089374,1.63492606911206
