"","GEOID","incidence"
"332","08053",NA
"333","08023",2.22
"334","08065",NA
"335","08057",NA
"336","13073",0.12
"337","13205",0.52
"338","34007",0.22
"339","34027",0.06
"340","34017",0.09
"341","34001",0.07
"342","34025",0.14
"343","34011",0.15
"344","34019",0.19
"345","35045",2.43
"346","35017",0.27
"347","35007",1.81
"348","35051",0.67
"349","35055",1.59
"350","01089",0.07
"351","01117",0.2
"352","01121",0.24
"353","01073",0.29
"354","53027",0.06
"355","53049",NA
"356","01055",0.12
"357","53011",0.03
"358","53073",0.02
"359","51107",0.07
"360","13319",NA
"361","13021",0.28
"362","13143",NA
"363","13151",0.02
"364","13215",0.72
"365","13113",0.07
"366","13025",0.65
"367","13301",NA
"368","13123",NA
"369","13183",NA
"370","13277",0.39
"371","13291",NA
"372","13263",NA
"373","13265",NA
"374","37069",0.07
"375","37123",0.15
"376","37199",NA
"377","37155",NA
"378","37167",NA
"379","37161",NA
"380","37065",NA
"381","37041",NA
"382","37149",NA
"383","37113",NA
"384","37007",NA
"385","37023",0.04
"386","37121",NA
"387","19075",NA
"388","19149",1.61
"389","19117",0.46
"390","19025",1.21
"391","19111",0.45
"392","18117",0.2
"393","19163",0.14
"394","19131",NA
"395","18125",NA
"396","18027",0.12
"397","18123",0.41
"398","20043",0.51
"399","20145",1.17
"400","21209",NA
"401","21107",0.26
"402","21017",NA
"403","21079",NA
"404","21049",0.34
"405","21051",NA
"406","20119",5.48
"407","21239",NA
"408","20071",3.15
"409","21005",NA
"410","21165",NA
"411","17163",0.57
"412","17089",0.46
"413","17167",0.48
"414","17017",NA
"415","17161",0.22
"416","17177",0.43
"417","17109",0.12
"418","17129",0.32
"419","17125",0.28
"420","39093",0.32
"421","39061",0.3
"422","39007",0.2
"423","39167",NA
"424","39123",0.19
"425","39079",0.24
"426","06037",0.64
"427","06087",0.03
"428","06039",1.27
"429","06019",0.8
"430","06097",0.02
"431","06099",1.78
"432","06107",1.58
"433","06013",0.21
"434","06047",0.94
"435","36047",0.14
"436","36005",0.15
"437","06105",NA
"438","36119",0.22
"439","36071",0.01
"440","06025",0.23
"441","51019",0.05
"442","01001",0.58
"443","53009",0.06
"444","53071",0.34
"445","51089",NA
"446","53007",NA
"447","53025",0.04
"448","53057",NA
"449","53037",NA
"450","01107",0.21
"451","53043",NA
"452","33015",0.01
"453","33007",NA
"454","32031",0.25
"455","31071",2.01
"456","31155",2.12
"457","31089",5.78
"458","31183",NA
"459","24039",NA
"460","24037",0.04
"461","21111",0.29
"462","22051",0.6
"463","51159",NA
"464","51133",0.32
"465","51057",NA
"466","21135",NA
"467","22031",1.33
"468","22029",1.17
"469","22111",0.71
"470","21007",NA
"471","51103",NA
"472","21133",NA
"473","23003",NA
"474","21121",NA
"475","21167",NA
"476","21179",NA
"477","21125",0.13
"478","21097",NA
"479","21029",0.05
"480","51143",NA
"481","21217",0.16
"482","51099",NA
"483","21159",NA
"484","21123",NA
"485","22109",0.21
"486","24001",0.05
"487","24003",0.3
"488","24029",NA
"489","24013",0.07
"490","25009",0.07
"491","25013",0.09
"492","24047",0.08
"493","25025",0.19
"494","37127",0.04
"495","37099",NA
"496","37115",NA
"497","37079",NA
"498","37147",0.05
"499","42101",0.29
"500","42049",0.09
"501","42091",0.17
"502","42079",0.04
"503","42095",0.07
"504","42043",0.12
"505","42071",0.41
"506","42013",NA
"507","42035",0.4
"508","42055",0.61
"509","42067",0.33
"510","44007",0.09
"511","42051",0.15
"512","44009",0.03
"513","55061",0.39
"514","55011",0.6
"515","48213",0.51
"516","48037",0.64
"517","48331",0.5
"518","48315",NA
"519","48081",1.25
"520","48475",NA
"521","48163",0.22
"522","48313",NA
"523","48083",0.46
"524","48289",0.24
"525","48005",2.51
"526","40143",0.66
"527","40089",0.12
"528","40113",0.17
"529","40087",0.34
"530","40141",0.51
"531","40095",NA
"532","40077",NA
"533","40055",NA
"534","40151",0.45
"535","41047",0.01
"536","41057",NA
"537","41065",NA
"538","41043",0.03
"539","41021",NA
"540","41063",NA
"541","41017",0.05
"542","01119",0.3
"543","05039",0.5
"544","05013",NA
"545","05081",0.62
"546","05029",0.38
"547","16087",7.18
"548","05003",0.37
"549","05103",0.47
"550","05019",0.35
"551","05073",0.54
"552","05063",0.43
"553","05147",NA
"554","05093",0.09
"555","06003",NA
"556","05091",1.01
"557","05095",NA
"558","05017",0.35
"559","16081",NA
"560","48477",0.35
"561","48075",2.25
"562","48487",NA
"563","48333",NA
"564","48411",NA
"565","48419",0.15
"566","48105",NA
"567","48051",NA
"568","55111",0.06
"569","55003",NA
"570","55023",0.48
"571","55037",NA
"572","55051",NA
"573","30093",0.12
"574","30037",NA
"575","30083",4.08
"576","30059",NA
"577","30047",0.28
"578","30061",NA
"579","30015",2.02
"580","49043",NA
"581","49003",0.56
"582","49051",NA
"583","49005",0.28
"584","49001",NA
"585","49047",1.62
"586","49019",0.86
"587","01025",NA
"588","01039",0.11
"589","01099",0.18
"590","01005",0.15
"591","01085",NA
"592","01051",0.2
"593","36075",0.16
"594","36069",NA
"595","36117",0.04
"596","36051",0.12
"597","36027",0.08
"598","36077",NA
"599","36113",NA
"600","36009",0.05
"601","48113",0.85
"602","48085",0.39
"603","48453",0.38
"604","48181",0.56
"605","48141",1.42
"606","48039",0.22
"607","48409",0.43
"608","48199",0.22
"609","06101",1.32
"610","06027",0.22
"611","06109",0.07
"612","36013",NA
"613","06011",1.13
"614","06057",0.2
"615","36017",0.08
"616","06015",NA
"617","08005",0.78
"618","12095",0.01
"619","12101",0.02
"620","12071",0.04
"621","12105",0.01
"622","08051",0.26
"623","09011",0.03
"624","10001",0.22
"625","11001",0.48
"626","08113",1.05
"627","12009",0.04
"628","12097",0.01
"629","12063",0.08
"630","12017",0.06
"631","12015",0.02
"632","42089",0.07
"633","12049",NA
"634","12077",NA
"635","12013",0.55
"636","12047",NA
"637","12129",0.26
"638","29095",0.33
"639","29033",1.32
"640","29029",NA
"641","29123",NA
"642","29023",0.09
"643","29103",NA
"644","29171",NA
"645","29157",NA
"646","29003",0.23
"647","25017",0.2
"648","26003",NA
"649","26063",NA
"650","26129",0.19
"651","26109",0.17
"652","26073",0.11
"653","26055",0.18
"654","26013",NA
"655","26141",0.31
"656","48063",0.32
"657","48115",2.35
"658","48287",NA
